Athlete,Event,Time,Placement,Meet,Date
Brunet Brooke,PV,3.91m,3rd  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Brunet Brooke,PV,3.55m,6th  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Brunet Brooke,PV,3.70m,1st  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Brunet Brooke,PV,3.60m,1st  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Brunet Brooke,PV,3.80m,5th  (F),NEICAAA Outdoor Track & Field Championships,May 11-12  2018
Brunet Brooke,PV,3.86m,3rd  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Brunet Brooke,PV,3.85m,1st  (F),George Davis Invitational,Apr 21  2018
Brunet Brooke,PV,3.95m,1st  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Brunet Brooke,PV,3.85m,1st  (F),2018 Mark Young Invitational,Apr 7  2018
Brunet Brooke,PV,3.65m,6th  (F),FSU Relays (College),Mar 23  2018
Brunet Brooke,PV,3.80m,3rd  (F),UCF Black and Gold Challenge,Mar 16-17  2018
Brunet Brooke,PV,3.85m,4th  (F),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Brunet Brooke,PV,3.75m,3rd  (F),Fastrack National Invite,Feb 9  2018
Brunet Brooke,PV,3.75m,3rd  (F),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Brunet Brooke,PV,3.80m,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Brunet Brooke,PV,3.70m,3rd  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Brunet Brooke,PV,3.65m,2nd  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Brunet Brooke,PV,3.70m,3rd  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Brunet Brooke,PV,3.45m,5th  (F),Boston University Season Opener,Dec 2  2017
Buchalski Madyson,SP,12.26m,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Buchalski Madyson,JT,34.83m,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Buchalski Madyson,SP,12.19m,5th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Chafouleas Zoe,DT,32.41m,6th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Chafouleas Zoe,HT,37.38m,6th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Chao Isabella,5000,17:43.10,9th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Chao Isabella,5000,18:26.62,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Chao Isabella,5000,18:37.81,6th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Chao Isabella,Mile,5:11.32,2nd  (F),14th Giegengack Invitational,Feb 15  2020
Chao Isabella,3000,10:39.35,6th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Chao Isabella,3000,10:21.14,21st  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Chao Isabella,3000,10:37.49,9th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Chao Isabella,3000,10:49.29,9th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Chao Isabella,4x400,4:30.61,10th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Chao Isabella,3K,10:31.6,19th,17th Annual CCSU Mini Meet,Oct 25  2019
Chao Isabella,5K,19:26.9,20th,2019 NEICAAA Cross Country Championship Meet,Oct 12  2019
Chao Isabella,5K,19:09.5,80th,Coast-to-Coast Battle in Beantown,Sep 20  2019
Chao Isabella,6K,23:56.2,16th,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Chao Isabella,1500,5:11.24,22nd  (F),2019 UNH Pre-Conference Invitational,Apr 27  2019
Chao Isabella,4x400,4:15.67,3rd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Chao Isabella,1500,5:06.44,29th  (F),University of MA Minuteman Invitational,Apr 6  2019
Chao Isabella,Mile,5:39.75,29th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Chao Isabella,4x800,DNF, ,2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Chao Isabella,5K,19:09.2,39th,NEICAAA Cross Country Championship,Oct 6  2018
Chao Isabella,6K,23:44.7,31st,2018 Maribel Sanchez Souther XC Invitational,Sep 8  2018
Chao Isabella,5K,19:48.3,30th,2018 UNH XC Invitational,Sep 1  2018
Csorba Julia,4x400,3:56.56,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Cunningham Emma,TJ,12.30m,4th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Cunningham Emma,TJ,12.46m,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Cunningham Emma,100,12.58,4th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Cunningham Emma,LJ,5.74mw,1st  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Cunningham Emma,TJ,10.95m,4th  (F),14th Giegengack Invitational,Feb 15  2020
Cunningham Emma,200,27.78,12th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Cunningham Emma,LJ,5.19m,6th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Cunningham Emma,TJ,11.47m,10th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cunningham Emma,TJ,11.23m,4th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Cunningham Emma,LJ,5.21m,3rd  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Cunningham Emma,TJ,11.06m,3rd  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Dainton Zoe,HJ,1.61m,6th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Dainton Zoe,HJ,1.67m,9th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Dainton Zoe,HJ,1.65m,5th  (F),14th Giegengack Invitational,Feb 15  2020
Dainton Zoe,HJ,1.59m,3rd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Dainton Zoe,HJ,1.71m,3rd  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Dainton Zoe,HJ,1.65m,1st  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Dainton Zoe,HJ,1.68m,1st  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Dainton Zoe,HJ,1.64m,2nd  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Dainton Zoe,HJ,1.65m,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Dainton Zoe,HJ,1.74m,1st  (F),Crimson Opener,Dec 7  2019
Dainton Zoe,HJ,1.63m,6th  (F),New England Outdoor Championship - NEICAAA,May 10-11  2019
Dainton Zoe,HJ,1.67m,6th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Dainton Zoe,HJ,1.65m,2nd  (F),Jay Carisella Coaches Invitational,Apr 20  2019
Dainton Zoe,HJ,1.66m,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Dainton Zoe,HJ,1.65m,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Dainton Zoe,HJ,1.66m,4th  (F),University of MA Minuteman Invitational,Apr 6  2019
Dainton Zoe,HJ,1.67m,5th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Dainton Zoe,HJ,1.65m,8th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Dainton Zoe,HJ,1.70m,7th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Dainton Zoe,HJ,1.65m,5th  (F),Fastrack National Invite,Feb 8  2019
Dainton Zoe,HJ,1.61m,10th  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Dainton Zoe,HJ,1.62m,4th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Dainton Zoe,HJ,1.70m,1st  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Dainton Zoe,HJ,1.75m,2nd  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Dainton Zoe,HJ,1.70m,4th  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Fenerty Julia,800,2:13.83,13th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Fenerty Julia,800,2:13.21,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Fenerty Julia,4x400,3:56.56,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Fenerty Julia,800,2:14.28,1st  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Fenerty Julia,4x400,4:06.31,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Fenerty Julia,800,2:17.05,97th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Fenerty Julia,500,1:19.04,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Fenerty Julia,4x800,9:23.29,7th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Fenerty Julia,DMR,12:43.89,14th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Fenerty Julia,800,2:21.29,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Fenerty Julia,800,2:21.58,8th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Fenerty Julia,4x400,4:07.50,6th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Fenerty Julia,500,1:21.71,3rd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Fenerty Julia,4x400,4:14.39,2nd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Finley Steph,1500,4:46.58,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Finley Steph,4x400,4:11.33,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Finley Steph,1500,4:51.20,9th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Finley Steph,5000,DNF, ,UNH Wildcat Pre-Conference,Apr 24  2021
Finley Steph,3000,11:18.42,12th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Finley Steph,3K,11:13.8,73rd,17th Annual CCSU Mini Meet,Oct 25  2019
Finley Steph,5K,20:13.3,55th,2019 NEICAAA Cross Country Championship Meet,Oct 12  2019
Finley Steph,5K,20:18.1,107th,Coast-to-Coast Battle in Beantown,Sep 20  2019
Finley Steph,6K,24:17.9,21st,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Fragione Sara,1500,4:49.06,6th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Fragione Sara,800,2:22.97,5th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Fragione Sara,1000,2:56.80,28th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Fragione Sara,800,2:19.09,5th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Fragione Sara,1000,3:01.41,9th  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Fragione Sara,1000,3:01.94,7th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Fragione Sara,800,2:21.42,7th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Fragione Sara,4x400,4:07.50,6th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Fragione Sara,1000,3:06.51,2nd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Giordano Isabelle,800,2:15.40,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Giordano Isabelle,800,2:21.93,10th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Giordano Isabelle,800,2:14.29,50th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Giordano Isabelle,800,2:15.79,1st  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Giordano Isabelle,800,2:17.05,13th  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Giordano Isabelle,800,2:18.12,1st  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Giordano Isabelle,4x800,9:24.98,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Giordano Isabelle,800,2:20.51,5th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Giordano Isabelle,4x400,4:07.50,6th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Giordano Isabelle,800,2:19.99,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Giordano Isabelle,4x400,4:14.39,2nd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Giordano Isabelle,800,2:18.87,5th  (F),2019 UNH Pre-Conference Invitational,Apr 27  2019
Giordano Isabelle,800,2:21.07,2nd  (F),Jay Carisella Coaches Invitational,Apr 20  2019
Giordano Isabelle,800,2:17.40,6th  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Giordano Isabelle,800,2:15.01,46th  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Giordano Isabelle,4x800,9:10.77,2nd  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Giordano Isabelle,800,2:15.16,4th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Giordano Isabelle,4x800,9:14.35,3rd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Giordano Isabelle,800,2:18.57,5th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Giordano Isabelle,800,2:20.33,14th  (F),UMASS Pre-Conference,Apr 28  2018
Giordano Isabelle,800,2:22.66,3rd  (F),George Davis Invitational,Apr 21  2018
Giordano Isabelle,800,2:19.12,82nd  (F),Boston University David Hemery Valentine Invitational,Feb 9-10  2018
Giordano Isabelle,4x800,9:03.77,1st  (F),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Giordano Isabelle,800,2:18.00,5th  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Giordano Isabelle,4x800,9:36.00,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Giordano Isabelle,500,1:19.36,3rd  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Giordano Isabelle,800,2:20.80,6th  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Giordano Isabelle,Mile,5:22.42,8th  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Godwin Lauren,200,27.14w,9th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Godwin Lauren,LJ,5.50mw,4th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Goodwin Olivia,PV,NH, ,2021 Dartmouth Outdoor Invitational,May 7  2021
Goodwin Olivia,PV,3.65m,9th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Goodwin Olivia,PV,3.75m,4th  (F),14th Giegengack Invitational,Feb 15  2020
Goodwin Olivia,PV,3.65m,4th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Goodwin Olivia,PV,3.70m,4th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Goodwin Olivia,PV,3.55m,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Goodwin Olivia,LJ,5.00m,8th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Goodwin Olivia,PV,3.40m,4th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Goodwin Olivia,PV,3.60m,2nd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Goodwin Olivia,LJ,5.14m,2nd  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Goodwin Olivia,PV,3.50m,5th  (F),Crimson Opener,Dec 7  2019
Goodwin Olivia,PV,3.71m,4th  (F),New England Outdoor Championship - NEICAAA,May 10-11  2019
Goodwin Olivia,4x100,47.24,4th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Goodwin Olivia,PV,3.70m,6th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Goodwin Olivia,LJ,5.24m,16th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Goodwin Olivia,PV,3.72m,10th  (F),Virginia Challenge,Apr 19-20  2019
Goodwin Olivia,4x100,48.19,1st  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Goodwin Olivia,PV,3.85m,3rd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Goodwin Olivia,LJ,5.63m,1st  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Goodwin Olivia,PV,3.55m,3rd  (F),University of MA Minuteman Invitational,Apr 6  2019
Goodwin Olivia,PV,3.65m,2nd  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Goodwin Olivia,LJ,5.35m,7th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Goodwin Olivia,100,13.04,43rd  (F),Yellow Jacket Invitational,Mar 15-16  2019
Goodwin Olivia,LJ,5.38m,10th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Goodwin Olivia,PV,3.56m,7th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Goodwin Olivia,PV,3.65m,4th  (F),Fastrack National Invite,Feb 8  2019
Goodwin Olivia,PV,3.55m,6th  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Goodwin Olivia,PV,3.55m,5th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Goodwin Olivia,LJ,5.39m,4th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Goodwin Olivia,PV,3.45m,4th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Goodwin Olivia,60,8.18,8th  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Goodwin Olivia,60,8.11,6th  (P),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Goodwin Olivia,LJ,5.28m,3rd  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Goodwin Olivia,PV,3.80m,2nd  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Goodwin Olivia,PV,3.55m,7th  (F),NEICAAA Outdoor Track & Field Championships,May 11-12  2018
Goodwin Olivia,PV,3.71m,6th  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Goodwin Olivia,PV,3.85m,1st  (F),George Davis Invitational,Apr 21  2018
Goodwin Olivia,LJ,5.45mw,1st  (F),George Davis Invitational,Apr 21  2018
Goodwin Olivia,PV,3.70m,2nd  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Goodwin Olivia,LJ,5.33m,4th  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Goodwin Olivia,100,12.80,4th  (F),2018 Mark Young Invitational,Apr 7  2018
Goodwin Olivia,PV,3.55m,4th  (F),2018 Mark Young Invitational,Apr 7  2018
Goodwin Olivia,PV,3.65m,6th  (F),FSU Relays (College),Mar 23  2018
Goodwin Olivia,LJ,5.51m,8th  (F),FSU Relays (College),Mar 23  2018
Goodwin Olivia,PV,3.50m,12th  (F),UCF Black and Gold Challenge,Mar 16-17  2018
Goodwin Olivia,LJ,5.15m,18th  (F),UCF Black and Gold Challenge,Mar 16-17  2018
Goodwin Olivia,PV,3.75m,8th  (F),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Goodwin Olivia,PV,3.60m,6th  (F),Fastrack National Invite,Feb 9  2018
Goodwin Olivia,PV,3.75m,7th  (F),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Goodwin Olivia,LJ,5.61m,13th  (F),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Goodwin Olivia,PV,NH, ,Dartmouth vs Columbia vs Yale,Jan 20  2018
Goodwin Olivia,LJ,5.37m,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Goodwin Olivia,PV,3.85m,2nd  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Goodwin Olivia,LJ,5.39m,6th  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Goodwin Olivia,PV,3.50m,4th  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Goodwin Olivia,60H,9.42,7th  (P),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Goodwin Olivia,PV,3.70m,2nd  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Goodwin Olivia,4x400,4:13.36,13th  (F),Boston University Season Opener,Dec 2  2017
Goodwin Olivia,LJ,5.39m,7th  (F),Boston University Season Opener,Dec 2  2017
Gragg Arianna,400H,1:04.12,1st  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Gragg Arianna,4x800,9:03.66,4th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Gragg Arianna,Pent,2396,11th ,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Gragg Arianna,60H,10.13,11th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Gragg Arianna,HJ,NH, ,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Gragg Arianna,SP,8.93m,11th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Gragg Arianna,LJ,5.10m,7th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Gragg Arianna,800,2:32.55,7th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Gragg Arianna,500,1:17.09,18th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Gragg Arianna,60H,10.15,18th  (P),2020 Dartmouth Indoor Invitational,Feb 8  2020
Gragg Arianna,4x400,4:03.20,3rd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Gragg Arianna,LJ,5.03m,9th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Gragg Arianna,Pent,3278,4th ,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Gragg Arianna,60H,10.11,12th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Gragg Arianna,HJ,1.56m,7th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Gragg Arianna,SP,8.24m,12th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Gragg Arianna,LJ,5.18m,4th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Gragg Arianna,800,2:16.39,1st,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Gragg Arianna,500,1:16.43,10th  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Gragg Arianna,500,1:17.34,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Gragg Arianna,60H,10.26,9th  (P),Dartmouth vs Columbia vs Yale,Jan 18  2020
Gragg Arianna,4x400,4:00.48,4th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Gragg Arianna,60H,10.09,13th  (P),2020 Dartmouth Relays - College & Open,Jan 10  2020
Gragg Arianna,4x400,4:12.62,7th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Gragg Arianna,LJ,5.19m,4th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Gragg Arianna,SP,8.74m,18th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Gragg Arianna,Pent,3211,2nd ,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Gragg Arianna,60H,10.07,5th,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Gragg Arianna,HJ,1.52m,3rd,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Gragg Arianna,SP,8.82m,4th,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Gragg Arianna,LJ,5.08m,3rd,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Gragg Arianna,800,2:19.18,1st,Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Gragg Arianna,600,1:37.00,2nd  (F),Crimson Opener,Dec 7  2019
Gragg Arianna,60H,10.11,19th  (P),Crimson Opener,Dec 7  2019
Gragg Arianna,Hep,4221,7th ,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Gragg Arianna,100H,16.94,9th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Gragg Arianna,HJ,1.50m,6th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Gragg Arianna,SP,9.63m,8th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Gragg Arianna,200,27.59,9th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Gragg Arianna,LJ,5.31mw,4th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Gragg Arianna,JT,27.41m,6th,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Gragg Arianna,800,2:25.11,1st,Ivy League Outdoor Track & Field Championships,May 4-5  2019
Gragg Arianna,SP,9.02m,6th  (F),Jay Carisella Coaches Invitational,Apr 20  2019
Gragg Arianna,Hep,4107,2nd ,Catamount Combined Events Challenge,Apr 13-14  2019
Gragg Arianna,100H,17.47,5th,Catamount Combined Events Challenge,Apr 13-14  2019
Gragg Arianna,HJ,1.43m,5th,Catamount Combined Events Challenge,Apr 13-14  2019
